# amp: 1.0
# gap: 2.17
# gam: 0.05
# Used FT_model.dat for FTFile.
# phsf input follows
#tmp.dat
#0.0 0.0
#40000
#0.05 0.05
 # delta  =   -5.6923379630018767     
 # a      =        (0.51256582683988494,-1.40581850019703963E-031)
 # sigma =    8.8556312594391766     
 # omega, A(omega)
     -204.9091639850        0.0000003740       -0.0000000000        0.9999998149        0.0000001851
     -204.9011611789        0.0000003741       -0.0000000000        0.9999998119        0.0000001881
     -204.8931583728        0.0000003741        0.0000000000        0.9999998089        0.0000001911
     -204.8851555667        0.0000003741        0.0000000000        0.9999998059        0.0000001941
     -204.8771527606        0.0000003742        0.0000000000        0.9999998029        0.0000001971
     -204.8691499545        0.0000003742        0.0000000000        0.9999997999        0.0000002001
     -204.8611471484        0.0000003742        0.0000000000        0.9999997969        0.0000002030
     -204.8531443423        0.0000003743        0.0000000000        0.9999997939        0.0000002060
     -204.8451415362        0.0000003743        0.0000000000        0.9999997909        0.0000002090
     -204.8371387302        0.0000003743        0.0000000000        0.9999997879        0.0000002120
     -204.8291359241        0.0000003744        0.0000000000        0.9999997849        0.0000002150
     -204.8211331180        0.0000003744        0.0000000000        0.9999997819        0.0000002180
     -204.8131303119        0.0000003744        0.0000000000        0.9999997789        0.0000002210
     -204.8051275058        0.0000003745        0.0000000000        0.9999997759        0.0000002240
     -204.7971246997        0.0000003745        0.0000000000        0.9999997729        0.0000002270
     -204.7891218936        0.0000003745        0.0000000000        0.9999997699        0.0000002300
     -204.7811190875        0.0000003746        0.0000000000        0.9999997669        0.0000002330
     -204.7731162814        0.0000003746        0.0000000000        0.9999997639        0.0000002360
     -204.7651134753        0.0000003746        0.0000000000        0.9999997609        0.0000002390
     -204.7571106692        0.0000003747        0.0000000000        0.9999997579        0.0000002420
     -204.7491078631        0.0000003747        0.0000000000        0.9999997549        0.0000002450
     -204.7411050570        0.0000003747        0.0000000000        0.9999997519        0.0000002480
     -204.7331022509        0.0000003748        0.0000000000        0.9999997489        0.0000002510
     -204.7250994448        0.0000003748        0.0000000000        0.9999997459        0.0000002540
     -204.7170966387        0.0000003748        0.0000000000        0.9999997429        0.0000002570
     -204.7090938326        0.0000003749        0.0000000000        0.9999997399        0.0000002600
     -204.7010910265        0.0000003749        0.0000000000        0.9999997369        0.0000002630
     -204.6930882204        0.0000003749        0.0000000000        0.9999997339        0.0000002660
     -204.6850854143        0.0000003750        0.0000000000        0.9999997309        0.0000002690
     -204.6770826082        0.0000003750        0.0000000000        0.9999997279        0.0000002720
     -204.6690798021        0.0000003750        0.0000000000        0.9999997249        0.0000002750
     -204.6610769960        0.0000003751        0.0000000000        0.9999997219        0.0000002780
     -204.6530741899        0.0000003751        0.0000000000        0.9999997189        0.0000002810
     -204.6450713838        0.0000003751        0.0000000000        0.9999997159        0.0000002840
     -204.6370685777        0.0000003752        0.0000000000        0.9999997129        0.0000002870
     -204.6290657716        0.0000003752        0.0000000000        0.9999997099        0.0000002900
     -204.6210629655        0.0000003752        0.0000000000        0.9999997069        0.0000002930
     -204.6130601595        0.0000003753        0.0000000000        0.9999997039        0.0000002960
     -204.6050573534        0.0000003753        0.0000000000        0.9999997009        0.0000002990
     -204.5970545473        0.0000003753        0.0000000000        0.9999996979        0.0000003020
     -204.5890517412        0.0000003754       -0.0000000000        0.9999996949        0.0000003050
